symbol,open,close,high,low,volume,changePercent,date,companyName,sector
FB,190.0,182.34,190.65,181.5,19854192,-0.0391,2019-10-22,Meta Platforms Inc,Information
FB,182.01,186.15,186.38,182.0,12370819,0.0209,2019-10-23,Meta Platforms Inc,Information
FB,184.62,186.38,186.73,182.8,11505406,0.0012,2019-10-24,Meta Platforms Inc,Information
FB,185.83,187.89,189.0,185.0876,8061240,0.0081,2019-10-25,Meta Platforms Inc,Information
FB,187.2,189.4,189.53,185.08,13657866,0.008,2019-10-28,Meta Platforms Inc,Information
FB,191.69,189.31,192.53,188.47,13574874,-0.0005,2019-10-29,Meta Platforms Inc,Information
FB,189.56,188.25,190.45,185.98,28734559,-0.0056,2019-10-30,Meta Platforms Inc,Information
FB,196.7,191.65,198.09,188.25,42286529,0.0181,2019-10-31,Meta Platforms Inc,Information
FB,192.85,193.62,194.11,189.91,21711829,0.0103,2019-11-01,Meta Platforms Inc,Information
FB,194.55,194.72,197.3672,193.8119,16371292,0.0057,2019-11-04,Meta Platforms Inc,Information
FB,195.37,194.32,195.75,193.6,9941954,-0.0021,2019-11-05,Meta Platforms Inc,Information
FB,194.03,191.55,194.37,191.35,10973019,-0.0143,2019-11-06,Meta Platforms Inc,Information
FB,191.91,190.42,193.44,189.47,13472998,-0.0059,2019-11-07,Meta Platforms Inc,Information
FB,190.0,190.84,192.34,189.7,10764784,0.0022,2019-11-08,Meta Platforms Inc,Information
FB,189.93,189.61,190.08,188.54,8637768,-0.0064,2019-11-11,Meta Platforms Inc,Information
FB,190.0,194.47,195.06,189.74,17615454,0.0256,2019-11-12,Meta Platforms Inc,Information
FB,194.7,193.19,195.7,192.74,11009800,-0.0066,2019-11-13,Meta Platforms Inc,Information
FB,192.93,193.15,194.03,191.45,9059897,-0.0002,2019-11-14,Meta Platforms Inc,Information
FB,194.26,195.1,195.3,193.38,11530232,0.0101,2019-11-15,Meta Platforms Inc,Information
FB,194.56,197.4,198.63,193.05,16176107,0.0118,2019-11-18,Meta Platforms Inc,Information
FB,197.4,199.32,200.0,196.86,19070291,0.0097,2019-11-19,Meta Platforms Inc,Information
FB,198.58,197.51,199.59,195.43,12370240,-0.0091,2019-11-20,Meta Platforms Inc,Information
FB,197.42,197.93,199.09,196.86,12130985,0.0021,2019-11-21,Meta Platforms Inc,Information
FB,198.38,198.82,199.3,197.62,9959817,0.0045,2019-11-22,Meta Platforms Inc,Information
FB,199.515,199.79,200.97,199.25,15286442,0.0049,2019-11-25,Meta Platforms Inc,Information
